id,created_at,screen_name,u_created_at,statuses_count,followers,friends,location,profile_background_color,text
ID_1264712535065989122,5/25/2020 0:19,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17030,52448,17731,"Glasgow, Scotland",C0DEED,"“This is what you can expect to happen … at an average of 3C [increase] ”

“We are seeing a sign of what would be n… https://t.co/Yd1LBJZFyA"
ID_1264719936183767042,5/25/2020 0:48,GeraldKutney,Thu Oct 25 18:16:20 +0000 2012,90613,38370,27578,"Ottawa, Ontario",131516,@C_Smart_Climate @MichaelEMann @GretaThunberg Thank you for the link and for including me with the others. 👍🤓
ID_1264724622932619265,5/25/2020 1:07,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230345,25416,27237,"Taos, New Mexico, USA",8B542B,No Fear  no enemy  just life and revolutionary change https://t.co/IkQmv4RZJx  Climate #Occupy #BillionaireBuddha https://t.co/JDBcmlrsHo
ID_1264728321947992069,5/25/2020 1:21,GeraldKutney,Thu Oct 25 18:16:20 +0000 2012,90615,38373,27583,"Ottawa, Ontario",131516,My climate denier stalkers ramble  rant &amp; rave on all day long against me &amp; #climatebrawl... just demonstrates thei… https://t.co/PKTCAKjW9P
ID_1264752800296247300,5/25/2020 2:59,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17034,52449,17732,"Glasgow, Scotland",C0DEED,"To fight climate change we need to imagine a better future.

I spoke with @smilingmk who is helping to improve the… https://t.co/TMsIQyiyV4"
ID_1264757118558748673,5/25/2020 3:16,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230359,25415,27236,"Taos, New Mexico, USA",8B542B,If we want to survive and flourish then...No more business as usual  time for an intervention... More here… https://t.co/O2HTB29tDB
ID_1264762866630103046,5/25/2020 3:39,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17035,52449,17732,"Glasgow, Scotland",C0DEED,We have little chance of preventing more than 1.5C of global heating unless existing fossil fuel infrastructure is… https://t.co/MLHixP8Gn6
ID_1264766928666669057,5/25/2020 3:55,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230364,25415,27236,"Taos, New Mexico, USA",8B542B,SteamDrills -Hidden in our very ordinariness is our heroism #Occupy #OWS Climate 5Star Inspiration from @RiveraSunAuthor
ID_1264772932766584832,5/25/2020 4:19,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17036,52452,17731,"Glasgow, Scotland",C0DEED,"The speed and extent of current global warming exceeds any similar event in the past 2 000 years 

""We find that th… https://t.co/c8Xrh7d6hd"
ID_1264777494508404743,5/25/2020 4:37,ClimatePatriot,Tue Sep 10 00:27:40 +0000 2013,47274,1806,3761,troposphere,22330,@drewman_drew @NancyRZiering @funder I do apologise for not representing the full scope of climate SCIENCE denial d… https://t.co/MDjVUi4YSG
ID_1264779713979076608,5/25/2020 4:45,EcoManDan,Sat Nov 12 00:46:03 +0000 2011,3645,179,462,"Toronto, Ontario, Canada",709397,#cc #climatechange RT @UNEP: As we work together to contain #COVID19  we must also work to contain misinformation.… https://t.co/2CgNEzshpX
ID_1264781942148354049,5/25/2020 4:54,ClimatePatriot,Tue Sep 10 00:27:40 +0000 2013,47275,1806,3761,troposphere,22330,@stevenmosher @BradPKeyes @joedieseldodge @ancistroneura @Fauntleroy1934 @JoeTheAtheist @Ceist8 @ianrowley677… https://t.co/MXJuFTHFNk
ID_1264793065618726912,5/25/2020 5:39,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17038,52453,17732,"Glasgow, Scotland",C0DEED,"“Climate change is no longer a distant threat but something that is impacting economies now ”

In 2018 the US susta… https://t.co/f1aPTMXxtW"
